Unnamed: 0,floor,price,operation,size,exterior,rooms,bathrooms,latitude,longitude,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,numero_bancos_cercanos,numero_starbucks_cercanos,numero_atractivos_cercanos,numero_buenasmigas_cercanos,numero_clubesnocturnos_cercanos,numero_mcdonalds_cercanos,numero_metro_cercanos,numero_parking_cercanos,numero_parkingbici_cercanos,numero_parques_cercanos,numero_playas_cercanos,numero_santagloria_cercanos,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,log_price,price_m2,log_price_m2,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,status_good,status_newdevelopment,num_airbnbs_500_mas_de_cero,media_precios_airbnbs_500_mas_de_cero,numero_bancos_cercanos_mas_de_cero,numero_starbucks_cercanos_mas_de_cero,numero_atractivos_cercanos_mas_de_cero,numero_buenasmigas_cercanos_mas_de_cero,numero_clubesnocturnos_cercanos_mas_de_cero,numero_mcdonalds_cercanos_mas_de_cero,numero_metro_cercanos_mas_de_cero,numero_parking_cercanos_mas_de_cero,numero_parkingbici_cercanos_mas_de_cero,numero_parques_cercanos_mas_de_cero,numero_playas_cercanos_mas_de_cero,numero_santagloria_cercanos_mas_de_cero,numero_vivari_cercanos_mas_de_cero,district_Ciutat Vella,district_Eixample,district_Gracia,district_Horta-Guinardo,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Marti,district_Sants-Montjuic,district_Sarria-Sant Gervasi
36,12.0,3390.0,rent,120.0,1,3,2,413861658,21345338,0,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,81285852003745,28.25,334109345759245.0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,6.0,6900.0,rent,135.0,1,2,2,414006701,21725896,0,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,150942.0,883927669058535,511111111111111.0,393400191214692.0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,2.0,3000.0,rent,150.0,1,3,2,413854006,21835471,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,800636756765025,20.0,299573227355399.0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,3.0,1035.0,rent,45.0,1,2,1,413968365,21454188,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,694215670569947,23.0,313549421592915.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,3.0,4950.0,rent,123.0,1,3,2,414025112,21160332,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,850714285556274,402439024390244.0,369495850019032.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,1.0,2500.0,rent,112.0,1,3,2,41382181,21584714,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,782404601085629,223214285714286.0,31055471395612.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,3.0,3500.0,rent,125.0,1,3,2,413933148,2163152,0,1,0,1,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,81605182474775,28.0,33322045101752.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
43,1.0,4600.0,rent,164.0,1,4,4,41400537,21379804,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,843381158247719,280487804878049.0,333394515465299.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1.0,2600.0,rent,87.0,1,2,2,414032237,21233344,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,786326672400957,298850574712644.0,339735860535499.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
45,0.5,3120.0,rent,87.0,1,3,2,414030926,21690485,0,1,0,1,18,0,0,0,0,1,0,0,0,0,0,0,0,4,1465967.0,804558828080353,358620689655172.0,357968016214894.0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
