Unnamed: 0,floor,price,operation,size,exterior,rooms,bathrooms,latitude,longitude,newDevelopment,hasLift,topNewDevelopment,isParkingSpaceIncludedInPrice,numero_bancos_cercanos,numero_starbucks_cercanos,numero_atractivos_cercanos,numero_buenasmigas_cercanos,numero_clubesnocturnos_cercanos,numero_mcdonalds_cercanos,numero_metro_cercanos,numero_parking_cercanos,numero_parkingbici_cercanos,numero_parques_cercanos,numero_playas_cercanos,numero_santagloria_cercanos,numero_vivari_cercanos,num_airbnbs_500,media_precios_airbnbs_500,log_price,price_m2,log_price_m2,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,status_good,status_newdevelopment,num_airbnbs_500_mas_de_cero,media_precios_airbnbs_500_mas_de_cero,numero_bancos_cercanos_mas_de_cero,numero_starbucks_cercanos_mas_de_cero,numero_atractivos_cercanos_mas_de_cero,numero_buenasmigas_cercanos_mas_de_cero,numero_clubesnocturnos_cercanos_mas_de_cero,numero_mcdonalds_cercanos_mas_de_cero,numero_metro_cercanos_mas_de_cero,numero_parking_cercanos_mas_de_cero,numero_parkingbici_cercanos_mas_de_cero,numero_parques_cercanos_mas_de_cero,numero_playas_cercanos_mas_de_cero,numero_santagloria_cercanos_mas_de_cero,numero_vivari_cercanos_mas_de_cero,cluster,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23
31,9.0,4900.0,rent,188.0,1,4,3,41.3913941,2.1305489,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.49699048409872,26.063829787234,3.26054852126877,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,7990.0,rent,520.0,1,7,7,41.4098846,2.1163462,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.98594603876032,15.3653846153846,2.73211722718485,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1.0,3045.0,rent,77.0,1,2,2,41.4026737,2.1222373,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,8.021256180144,39.5454545454545,3.67745075829031,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.0,2100.0,rent,92.0,0,3,2,41.3907979,2.174509,0,1,0,0,15,0,0,1,1,0,0,0,0,0,0,0,1,1,50.314,7.64969262371151,22.8260869565217,3.12790404666247,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,4.0,3800.0,rent,121.0,1,3,2,41.3929281,2.1459461,0,0,0,0,29,0,0,0,1,0,0,2,1,0,0,0,0,0,0.0,8.24275634571448,31.404958677686,3.44696580011774,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,12.0,3390.0,rent,120.0,1,3,2,41.3861658,2.1345338,0,1,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,8.1285852003745,28.25,3.34109345759245,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,6.0,6900.0,rent,135.0,1,2,2,41.4006701,2.1725896,0,1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,1,150.942,8.83927669058535,51.1111111111111,3.93400191214692,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2.0,3000.0,rent,150.0,1,3,2,41.3854006,2.1835471,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,8.00636756765025,20.0,2.99573227355399,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,3.0,1035.0,rent,45.0,1,2,1,41.3968365,2.1454188,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.94215670569947,23.0,3.13549421592915,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,3.0,4950.0,rent,123.0,1,3,2,41.4025112,2.1160332,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,8.50714285556274,40.2439024390244,3.69495850019032,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.0,2500.0,rent,112.0,1,3,2,41.382181,2.1584714,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.82404601085629,22.3214285714286,3.1055471395612,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,3.0,3500.0,rent,125.0,1,3,2,41.3933148,2.163152,0,1,0,1,21,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0,8.1605182474775,28.0,3.3322045101752,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,4600.0,rent,164.0,1,4,4,41.400537,2.1379804,0,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.43381158247719,28.0487804878049,3.33394515465299,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.0,2600.0,rent,87.0,1,2,2,41.4032237,2.1233344,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,7.86326672400957,29.8850574712644,3.39735860535499,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.5,3120.0,rent,87.0,1,3,2,41.4030926,2.1690485,0,1,0,1,18,0,0,0,0,1,0,0,0,0,0,0,0,4,146.5967,8.04558828080353,35.8620689655172,3.57968016214894,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
