,floor,price,size,rooms,bathrooms,latitude,longitude,showAddress,hasLift,num_bancos_500,num_starbucks_500,num_atractivos_500,num_buenasmigas_500,num_clubesnocturnos_500,num_mcdonalds_500,num_metro_500,num_parking_500,num_parkingbici_500,num_parques_500,num_santagloria_500,num_vivari_500,num_airbnbs_500,status_newdevelopment,status_renew,newDevelopment_True,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio
4003,0.14285714285714285,1936.0,0.022754491017964073,0.05,0.1,41.3835922,2.184093,0,1,0.23333333333333334,0.0,0.6176470588235294,0.0,0.2222222222222222,0.3333333333333333,0.07142857142857142,0.08139534883720931,0.08139534883720931,0.08695652173913043,0.0,0.0,0.5491852745926373,0,0,0,0,1,0,0
4004,0.0,1500.0,0.05389221556886228,0.075,0.2,41.3597212,2.1420787,0,0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.06976744186046512,0.06976744186046512,0.4782608695652174,0.0,0.2,0.022329511164755584,0,0,0,0,1,0,0
4005,0.0,5000.0,0.11497005988023952,0.1,0.3,41.4017447,2.1341885,0,0,0.4,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.046511627906976744,0.046511627906976744,0.2608695652173913,1.0,0.0,0.0687990343995172,0,0,0,0,0,1,0
4006,0.0,2550.0,0.07125748502994012,0.1,0.2,41.4069277,2.1342738,0,1,0.36666666666666664,0.0,0.029411764705882353,0.3333333333333333,0.0,0.0,0.07142857142857142,0.12790697674418605,0.12790697674418605,0.34782608695652173,0.5,0.2,0.04465902232951117,0,0,0,0,1,0,0
4007,0.2857142857142857,2060.0,0.033532934131736525,0.025,0.1,41.401339,2.1801972,0,1,0.13333333333333333,0.0,0.058823529411764705,0.0,0.1111111111111111,0.0,0.023809523809523808,0.1511627906976744,0.1511627906976744,0.21739130434782608,0.0,0.6,0.3633071816535908,0,0,0,0,1,0,0
4008,0.0,2800.0,0.04910179640718563,0.05,0.2,41.386061,2.1657488,1,1,0.36666666666666664,0.5,0.3235294117647059,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.4523809523809524,0.08139534883720931,0.08139534883720931,0.21739130434782608,0.0,0.2,0.6264333132166566,0,0,0,0,1,0,0
4009,0.0,2200.0,0.04790419161676647,0.05,0.1,41.3781073,2.1590005,1,1,0.3333333333333333,0.0,0.029411764705882353,0.3333333333333333,0.4444444444444444,0.0,0.09523809523809523,0.1511627906976744,0.1511627906976744,0.17391304347826086,0.0,0.0,0.52021726010863,0,0,0,0,1,0,0
4010,0.2857142857142857,1995.0,0.04131736526946108,0.075,0.1,41.4040131,2.1686479,0,0,0.4666666666666667,0.16666666666666666,0.14705882352941177,0.0,0.1111111111111111,0.3333333333333333,0.07142857142857142,0.16279069767441862,0.16279069767441862,0.34782608695652173,0.5,0.2,0.375980687990344,0,0,0,0,1,0,0
4011,0.0,2750.0,0.05748502994011976,0.05,0.2,41.3844106,2.179786,0,1,0.43333333333333335,0.3333333333333333,0.8235294117647058,0.3333333333333333,0.1111111111111111,0.0,0.047619047619047616,0.05813953488372093,0.05813953488372093,0.17391304347826086,0.0,0.2,0.852142426071213,0,0,0,0,1,0,0
4012,0.0,1900.0,0.053293413173652694,0.05,0.2,41.4083284,2.1409898,0,0,0.23333333333333334,0.0,0.029411764705882353,0.3333333333333333,0.0,0.0,0.09523809523809523,0.08139534883720931,0.08139534883720931,0.34782608695652173,0.0,0.2,0.08871454435727218,0,0,0,0,1,0,0
4013,0.0,3900.0,0.12155688622754492,0.1,0.3,41.4018901,2.1306367,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.06976744186046512,0.06976744186046512,0.17391304347826086,0.5,0.0,0.023536511768255886,0,0,0,0,1,0,0
4014,0.07142857142857142,1690.0,0.05149700598802395,0.025,0.2,41.3984535,2.1573417,1,1,0.6666666666666666,0.3333333333333333,0.11764705882352941,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.07142857142857142,0.6395348837209303,0.6395348837209303,0.043478260869565216,0.0,0.2,0.45021122510561257,0,0,0,1,0,0,0
4015,0.0,3900.0,0.12155688622754492,0.1,0.4,41.4019472,2.1324728,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.05813953488372093,0.05813953488372093,0.2608695652173913,0.5,0.0,0.06095353047676524,0,0,0,0,1,0,0
4016,0.0,2945.0,0.05029940119760479,0.075,0.2,41.3893203,2.1733606,0,1,0.6666666666666666,0.3333333333333333,0.17647058823529413,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.1511627906976744,0.1511627906976744,0.08695652173913043,0.0,0.4,0.6777308388654194,0,0,0,0,1,0,0
4018,0.0,8791.0,0.19161676646706588,0.125,0.5,41.4109688,2.1245656,0,0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.06976744186046512,0.06976744186046512,0.08695652173913043,0.0,0.0,0.0012070006035003018,0,0,0,0,1,0,0
4019,0.0,8767.0,0.22634730538922157,0.125,0.4,41.4128413,2.122231,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046511627906976744,0.046511627906976744,0.0,0.0,0.0,0.0012070006035003018,0,0,0,0,1,0,0
4022,0.0,3032.0,0.07125748502994012,0.075,0.2,41.4110529,2.1298838,0,0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.11904761904761904,0.13953488372093023,0.13953488372093023,0.391304347826087,0.0,0.0,0.0024140012070006035,0,0,0,0,1,0,0
4023,0.07142857142857142,2100.0,0.04730538922155689,0.05,0.2,41.385255,2.1540232,0,1,0.23333333333333334,0.0,0.0,0.3333333333333333,0.5555555555555556,0.3333333333333333,0.023809523809523808,0.18604651162790697,0.18604651162790697,0.30434782608695654,0.0,0.4,0.3922751961375981,0,0,0,0,1,0,0
