"id";"price";"accommodation_type";"latitude";"longitude";"precio_euro"
721478;347;"Entire place";41.39884;2.17697;317.4356
721479;347;"Entire place";41.39884;2.17697;317.4356
721504;259;"Entire place";41.39711;2.16921;236.9332
721509;201;"Entire place";41.39795;2.1703;183.8748
721510;214;"Entire place";41.39795;2.1703;195.7672
504657;190;"Entire place";41.38467;2.18016;173.812
721511;234;"Entire place";41.39795;2.1703;214.0632
682808;585;"Entire place";41.39362;2.16868;535.158
682871;140;"Entire place";41.39679;2.14705;128.072
684160;45;"Private room";41.38245;2.1841;41.166
721512;234;"Entire place";41.39795;2.1703;214.0632
507667;60;"Private room";41.39774;2.18218;54.888
508212;NA;"Entire place";41.39161;2.15782;NA
722742;149;"Entire place";41.39821;2.15489;136.3052
724298;186;"Entire place";41.41057;2.17411;170.1528
724331;155;"Entire place";41.37658;2.16499;141.794
684639;33;"Private room";41.38584;2.14458;30.1884
684643;25;"Private room";41.3852751206228;2.1469959661828;22.87
688295;NA;"Private room";41.43212;2.17242;NA
510923;140;"Entire place";41.42257;2.18047;128.072
511739;203;"Entire place";41.40376;2.17292;185.7044
688527;107;"Entire place";41.40924;2.20118;97.8836
724523;114;"Entire place";41.37251;2.16067;104.2872
512368;19;"Private room";41.3757;2.17101;17.3812
512666;244;"Entire place";41.37779;2.16729;223.2112
688946;170;"Entire place";41.40828;2.19255;155.516
512737;154;"Entire place";41.37701;2.16663;140.8792
513825;200;"Entire place";41.40012;2.1756;182.96
694516;42;"Entire place";41.42593;2.16748;38.4216
725009;141;"Entire place";41.37621;2.16393;128.9868
517407;314;"Entire place";41.4003;2.17502;287.2472
725659;52;"Entire place";41.405;2.15999;47.5696
696301;NA;"Private room";41.38902;2.17789;NA
519494;292;"Entire place";41.39095;2.1964;267.1216
698593;166;"Entire place";41.40237;2.15865;151.8568
699920;234;"Entire place";41.38734;2.16448;214.0632
700150;332;"Entire place";41.38686;2.16449;303.7136
703941;NA;"Entire place";41.39739;2.17108;NA
849035;NA;"Entire place";41.39178;2.17826;NA
852134;91;"Entire place";41.37848;2.15456;83.2468
852195;168;"Entire place";41.3838;2.15663;153.6864
856159;25;"Private room";41.40175;2.19831;22.87
728480;346;"Entire place";41.38788;2.15228;316.5208
729078;92;"Entire place";41.37741;2.17391;84.1616
731049;19;"Private room";41.37202;2.12871;17.3812
737759;NA;"Private room";41.39536;2.17174;NA
