floor,price,size,rooms,bathrooms,latitude,longitude,hasLift,isParkingSpaceIncludedInPrice,propertyType_countryHouse,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_newdevelopment,status_renew,newDevelopment_True,topNewDevelopment_True,exterior_True
0.0,0.055714285714285716,0.028089887640449437,0.05,0.0625,414056399,21982123,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.037142857142857144,0.02247191011235955,0.025,0.0625,413722644,21306114,0,0,0,0,1,0,0,0,0,0,0,1
0.2,0.055714285714285716,0.028089887640449437,0.05,0.0625,414051825,2197618,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.04,0.0149812734082397,0.025,0.0625,413786224,21615953,0,0,0,0,1,0,0,0,0,0,0,1
-0.04,0.04,0.020973782771535582,0.025,0.0625,414002093,21642628,0,0,0,0,1,0,0,0,0,0,0,1
0.0,0.12,0.07191011235955057,0.1,0.125,413885029,21641122,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.12,0.07191011235955057,0.1,0.125,413871568,21643452,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.09914285714285714,0.052434456928838954,0.025,0.0625,413842105,21623344,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.06442857142857143,0.025093632958801498,0.05,0.125,414037667,21920195,1,0,0,0,1,0,0,0,0,0,0,1
0.24,0.07157142857142858,0.025093632958801498,0.05,0.125,413835124,21608035,1,0,0,0,1,0,0,0,0,0,0,0
0.08,0.08557142857142858,0.02247191011235955,0.025,0.0625,414016839,21601068,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.09285714285714286,0.08876404494382023,0.125,0.1875,415547983,23980108,0,0,0,0,0,0,0,0,0,0,0,0
0.2,0.07714285714285714,0.026217228464419477,0.05,0.1875,413793998,2161786,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.09285714285714286,0.0898876404494382,0.125,0.1875,415531324,23986874,0,0,0,0,0,0,0,0,0,0,0,0
0.04,0.05842857142857143,0.020973782771535582,0.05,0.125,413881446,21724646,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.37142857142857144,0.19737827715355805,0.175,0.4375,413814403,20933584,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.037142857142857144,0.028089887640449437,0.05,0.0625,414450135,21835773,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.037142857142857144,0.01348314606741573,0.0,0.0625,414004643,2158961,0,0,0,0,0,0,1,0,0,0,0,1
0.0,0.07142857142857142,0.09363295880149813,0.1,0.25,413115674,21112455,0,0,0,0,0,0,0,0,0,0,0,0
0.32,0.039714285714285716,0.016853932584269662,0.025,0.0625,413888455,21828275,1,0,0,0,0,1,0,0,0,0,0,1
0.16,0.018571428571428572,0.006741573033707865,0.0,0.0625,413874693,2176789,0,0,0,0,0,0,1,0,0,0,0,1
0.12,0.037142857142857144,0.01348314606741573,0.0,0.0625,413995976,21583718,0,0,0,0,0,0,1,0,0,0,0,1
0.04,0.1,0.06741573033707865,0.075,0.125,413957278,21505102,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.07714285714285714,0.08239700374531835,0.075,0.1875,415040777,23958285,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.04,0.048314606741573035,0.025,0.125,41374622,21746782,0,0,0,0,1,0,0,0,0,0,0,1
0.16,0.07428571428571429,0.026217228464419477,0.05,0.125,413901108,21544734,1,0,0,0,1,0,0,0,0,0,0,1
0.16,0.045142857142857144,0.020599250936329586,0.05,0.0625,413806303,21741152,0,0,0,0,1,0,0,0,0,0,0,0
0.0,0.21428571428571427,0.056179775280898875,0.075,0.125,41405931,22162566,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.12457142857142857,0.04119850187265917,0.075,0.1875,413893518,21406739,1,0,0,0,1,0,0,0,0,0,0,1
0.24,0.08814285714285715,0.03745318352059925,0.05,0.125,413923528,21363887,1,0,0,0,1,0,0,0,0,0,0,0
0.0,0.10585714285714286,0.056179775280898875,0.05,0.125,414025771,21613021,1,0,0,0,1,0,0,0,0,0,0,1
0.16,0.06757142857142857,0.025093632958801498,0.05,0.125,414046098,21892984,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.06714285714285714,0.03670411985018727,0.075,0.125,414011748,21795779,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.06285714285714286,0.08202247191011236,0.075,0.25,414924169,22952793,0,1,0,0,0,0,0,0,0,0,0,0
0.0,0.07,0.031086142322097377,0.075,0.125,413935063,21468939,1,0,0,0,1,0,0,0,0,0,0,0
0.08,0.063,0.02846441947565543,0.05,0.0625,413892467,21563843,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.045714285714285714,0.020599250936329586,0.05,0.0625,413989554,22000824,1,0,0,0,1,0,0,0,0,0,0,1
0.04,0.02942857142857143,0.013108614232209739,0.0,0.0625,414185653,22041552,0,0,0,0,0,0,1,0,0,0,0,0
0.04,0.24285714285714285,0.0749063670411985,0.075,0.1875,41395054,21597976,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.08571428571428572,0.04868913857677903,0.075,0.1875,413875757,21473563,1,1,0,1,0,0,0,0,0,0,0,0
0.04,0.09428571428571429,0.0749063670411985,0.1,0.1875,413957631,21338746,1,0,0,0,1,0,0,0,0,0,0,1
0.0,0.09142857142857143,0.05543071161048689,0.075,0.1875,413997015,21731701,0,0,0,1,0,0,0,0,0,0,0,1
0.24,0.04428571428571428,0.04044943820224719,0.075,0.125,414097091,21553563,1,1,0,0,1,0,0,0,0,0,0,1
0.04,0.022828571428571427,0.011235955056179775,0.0,0.0625,413715736,21229778,0,0,0,0,0,0,1,0,0,0,0,0
0.0,0.42857142857142855,0.0898876404494382,0.125,0.3125,412683725,19731901,0,1,0,0,0,0,0,0,0,0,0,0
0.2,0.045714285714285714,0.027340823970037453,0.075,0.0625,413907861,21386717,1,0,0,0,1,0,0,0,0,0,0,1
0.12,0.04857142857142857,0.029213483146067417,0.075,0.0625,41400511,21684121,1,0,0,0,1,0,0,0,0,0,0,1
